"","HeFTy.ID","Max.time..Ma.","Min.time..Ma.","Max.temp..C.","Min.temp..C.","Max.good.time..Ma.","Min.good.time..Ma.","Mean.good.time..Ma.","SD.good.time..Ma.","Max.good.temp..C.","Min.good.temp..C.","Mean.good.temp..C.","SD.good.temp..C.","Sample","Table.ID","Type"
"49",3,1313.8,988.5,20,0,1313.0667903903,988.99028616665,1101.45929036344,59.8937867186843,19.90047378,0.0073572,10.10131399626,5.80855762260447,"1_z049","1a.2","Less_Restrictive"
"59",4,993.15,949.7,20,0,993.140356945846,949.70579314505,973.079996847772,12.7435018327761,19.9819474,0.00260404,10.00882558216,5.73836397490127,"1_z049","2a","Less_Restrictive"
"69",5,993,487.5,285,0,992.994258208786,488.464300192884,807.705887116952,141.431558368159,230.86555017,0.25321167,87.2608867081049,50.7410292072882,"1_z049","2b","Less_Restrictive"
"79",6,992,487,40,0,991.835135169001,487.158117784284,690.107813139717,146.378924158116,39.99543076,0.06238424,20.0581855154,11.3823421076303,"1_z049","2b.1","Less_Restrictive"
"89",7,497,485,40,0,496.964342096,485.006064208554,490.847974941748,3.38807082561359,39.98677404,0.0159268,19.65671984196,11.3506315592277,"1_z049","3a","Less_Restrictive"
"99",8,496,201,100,70,495.512621355,201.03081039,353.283084213476,82.397457144263,99.93457195,70.0132666,85.0362447744101,8.61238255216922,"1_z049","3b","Less_Restrictive"
"109",9,251,2.6,20,0,250.437567752,2.7698822504,127.889788309151,69.9745070367973,19.96865848,0.0113924,10.17014854714,5.67801009449544,"1_z049","3b.1","Less_Restrictive"
"119",10,2.6,1e-06,20,0,2.59003350963327,3.7730185873e-05,1.33292184699874,0.742320753733922,19.90423522,0.01558138,9.90695096994001,5.84698176320335,"1_z049","3c","Less_Restrictive"
"129",11,0,0,22,20,0,0,0,0,21.999453996,20.005595516,21.023346517848,0.584298207680258,"1_z049","3c*","Less_Restrictive"
"210",1,1314,1178,1000,950,1313.96148337326,1178.01922904,1246.90419270569,40.3357338366277,999.9991372,950.03139465,975.869218696799,14.5179385621331,"2_z051","1a","Less_Restrictive"
"310",2,1313.9,993.1,1000,20,1313.33653685237,995.373729003857,1103.80705087235,77.9483335898647,998.46121772,22.11925196,559.86815501864,268.064345406046,"2_z051","1a.1","Less_Restrictive"
"410",3,1313.8,988.5,20,0,1308.6090493222,988.5041589605,1037.01384425709,53.1988579753763,19.98724976,0.0023295,9.84896117553999,5.80569903923728,"2_z051","1a.2","Less_Restrictive"
"510",4,993.15,949.7,20,0,993.14004286765,949.7251250494,971.284679224878,12.6721630750143,19.99449988,0.00011866,10.22108474126,5.92257817232173,"2_z051","2a","Less_Restrictive"
"610",5,993,487.5,285,0,992.832565450484,487.681880262846,771.787489878469,141.500947712571,247.73369298,0.07755534,92.8691193631648,53.3692747628226,"2_z051","2b","Less_Restrictive"
"710",6,992,487,40,0,989.974992925,487.229005714069,650.171029416399,132.590711341976,39.97202964,0.11868232,19.75616991484,11.4732443055254,"2_z051","2b.1","Less_Restrictive"
"810",7,497,485,40,0,496.99975754,485.008829048,490.859946993357,3.50668679759983,39.96930168,0.00020068,20.31536608056,11.1178622180289,"2_z051","3a","Less_Restrictive"
"910",8,496,201,100,70,494.966330915,201.565659194675,344.301931668563,82.205911672499,99.98330485,70.00364308,84.83595583177,8.57414064808308,"2_z051","3b","Less_Restrictive"
"1010",9,251,2.6,20,0,249.359278256,2.62253792371137,122.606169942299,69.8478967051444,19.98621446,0.01474366,9.91771254153999,5.89071857891258,"2_z051","3b.1","Less_Restrictive"
"1110",10,2.6,1e-06,20,0,2.59994208502227,0.014191836141984,1.32100717609171,0.752133373696126,19.9819283,0.01250056,10.00936001614,5.87980584887292,"2_z051","3c","Less_Restrictive"
"1210",11,0,0,22,20,0,0,0,0,21.997816488,20.002492534,21.016463448644,0.583730249912738,"2_z051","3c*","Less_Restrictive"
"211",1,1385,1238,1000,950,1385.01177262601,1238.155807211,1321.90786761841,44.7256870772612,999.9860931,950.0039471,974.619016997952,14.4099547016752,"1_z005","1a","Less_Restrictive"
"311",2,1384.9,993.1,1000,20,1384.88048651298,993.187320946009,1157.98001118842,128.131758160298,998.98203186,20.36496866,565.306095906181,275.057857808556,"1_z005","1a.1","Less_Restrictive"
